0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:25 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:25 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:25 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:27 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:27 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:27 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:28 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:50 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:50 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:50 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:54 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:28:47 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:28:47 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:28:47 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:28:51 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:28:51 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
